Class,Precision,Recall,F1 Score,Accuracy
0,0.4215,0.5100,0.4615,0.4490
1,0.4834,0.5100,0.4964,0.4490
2,0.3237,0.2800,0.3003,0.4490
3,0.4739,0.5450,0.5070,0.4490
4,0.5556,0.4000,0.4651,0.4490
Overall,0.4516,0.4490,0.4460,0.4490
