Epoch,Train Loss,Train Accuracy
1,1.7031157178878784,19.45
2,1.6864329471588135,21.65
3,1.6940029344558716,20.75
4,1.6948257274627685,20.9
5,1.686124656677246,21.825
6,1.6797507829666138,22.3
7,1.6886146783828735,21.125
8,1.6930595493316651,20.9
9,1.6816416788101196,22.025
10,1.66756107711792,23.65
11,1.6700637941360474,23.5
12,1.6557166166305541,24.975
13,1.64595867061615,26.0
14,1.6507421627044678,25.625
15,1.6438048076629639,26.1
16,1.634554931640625,27.125
17,1.633302046775818,27.45
18,1.6393909759521483,26.525
19,1.6112782106399537,29.575
20,1.6052629251480102,30.225
21,1.593089030265808,31.525
22,1.593337456703186,31.525
23,1.5893982524871826,31.8
24,1.575101990699768,33.625
25,1.5743300590515137,33.425
26,1.5553650941848756,35.675
27,1.5590994701385499,34.725
28,1.5470616550445557,35.875
29,1.5361439533233643,37.225
30,1.5322198867797852,37.9
31,1.5374740772247315,37.025
32,1.525882315635681,37.525
33,1.5179098672866822,38.125
34,1.52563853931427,37.8
35,1.518198076248169,38.275
36,1.5146035623550416,39.575
37,1.507160870552063,40.05
38,1.5095861988067627,40.05
39,1.51222713470459,39.075
40,1.5047609643936157,40.275
41,1.5094066219329834,39.525
42,1.4981955013275146,40.675
43,1.5044865503311158,40.2
44,1.4935294103622436,41.35
45,1.4899388179779052,41.95
46,1.4907085914611817,41.775
47,1.490039963722229,41.675
48,1.4828827323913574,42.775
49,1.485906635284424,42.75
50,1.4857264900207519,42.45
51,1.4768580522537231,43.6
52,1.4760045289993287,43.3
53,1.4790435075759887,43.075
54,1.4826945533752443,42.425
55,1.4663799715042114,44.85
56,1.469349323272705,44.35
57,1.4653108539581299,44.8
58,1.4638761444091797,44.6
59,1.4674966354370118,44.575
60,1.4637941999435424,45.025
61,1.4552832527160644,46.025
62,1.4571323070526123,46.1
63,1.4597158946990967,45.3
64,1.4574278144836426,45.25
65,1.452230073928833,46.3
66,1.448166753768921,46.875
67,1.453243143081665,46.85
68,1.4487606563568116,46.7
69,1.448337582588196,46.95
70,1.4501821327209472,46.675
71,1.4421848239898682,47.9
72,1.4447614011764527,47.6
73,1.4440342645645141,47.275
74,1.4390093746185302,47.775
75,1.4294056272506714,49.125
76,1.4382150583267213,47.8
77,1.441479290008545,47.45
78,1.4304183921813964,49.1
79,1.4361491689682007,48.25
80,1.4226967868804932,50.075
81,1.4300604314804077,48.75
82,1.4271069822311402,48.875
83,1.4254691276550293,49.925
84,1.4247985191345214,49.625
85,1.4184654607772826,50.6
86,1.4262930240631104,49.325
87,1.414106756210327,51.375
88,1.420780291557312,49.95
89,1.4124182043075562,51.6
90,1.4087923240661622,51.65
91,1.4124055166244507,51.225
92,1.4104312686920166,51.4
93,1.4077187442779542,51.6
94,1.4059998216629028,52.325
95,1.4122818069458007,51.35
96,1.4103811149597167,51.3
97,1.399153977394104,53.15
98,1.4048629627227782,51.7
99,1.396417039871216,53.125
100,1.4021699390411377,52.375
101,1.3954737319946289,53.1
102,1.3937347841262817,53.375
103,1.3927742013931275,53.45
